"tr_key","text"
"Add to cart","Ajouter au panier"
"Catalog","Catalogue"
"Home","Accueil"
"Change currency","Changer de devise"
"Change language","Change de langue"
"Hello","Bonjour"
"product","article"
"Are you sure to empty your cart ?","Etes-vous sur de vouloir vider votre panier ?"
"Are you sure to remove this product ?","Etes-vous sur de vouloir retirer cet article ?"
"Empty cart","Vider le panier"
"Name","Nom"
"Disconnect","Se déconnecter"
"Quantity","Quantité"
"Unit price","Prix unitaire"
"Make order","Passer la commande"
"Address invoice","Adresse de facturation"
"Address delivery","Adresse de livraison"
"Update","Modifier"
"Add an address","Ajouter une adresse"
"Tax","TVA"
"Firstname","Prénom"
"Address","Adresse"
"Zip code","Code postal"
"City","Ville"
"Add address","Ajouter cette adresse"
"Back","Retour"
"We are sorry, but it is temporarily impossible to place order...","Nous sommes désolé,mais il est momentanément impossible de passer commande..."
"Product added","Article ajouté"
"Your cart is empty","Votre panier est vide"
"Product has been remove","L'article a été retiré"
"result","résultat"
"remove this voucher","retirer le coupon"
"Voucher","Coupon"
"You must be connected","Vous devez être connecté"
"Thank you !","Merci !"
"Thank you for your order ","Merci d'avoir passer commande"
"Firstname","Prénom"
"Name","Nom"
"Log in","Se connecter"
"Sign in","S'inscrire"
"The email and/or password you entered is invalid.","E-mail ou mot de passe incorrect, veuillez réessayer."
"There were some problems with your submission:","Il y a eu des erreurs lors de l'enregistrement:"
"can't be blank","ne peut-être vide"
"is too short","est trop court"
"is too long","est trop long"
"is invalid","est invalide"
"doesn't match confirmation","est différent de la confirmation"
"You have been logged out.","Vous avez été deconnecté."
